Component,Volume (in³),Material,Vertices,Faces,Quantity
Gusset-3'''' x 3'''' x .5''''_2,2.2432685,Not specified,100,88,1
Gusset-3'''' x 3'''' x .5''''_3,2.2432685,Not specified,100,88,1
Gusset-3'''' x 3'''' x .5''''_4,2.2432685,Not specified,100,88,1
Gusset-3'''' x 3'''' x .5''''_5,2.2432685,Not specified,100,88,1
VT-6022-2'''' Pipe Nipple -,2.2086201,Not specified,1248,1240,1
VT-6060-.25 Pipe Flange_1,0.5345427,Not specified,5050,8568,1
Tap Changer Patch,1.9404254,Not specified,1088,1064,1
"Ground Boss, .5-13",0.2816502,Not specified,9480,11456,1
"Ground Boss, .5-13_1",0.2816502,Not specified,9480,11456,1
Inspection Plate-16'''' x 30'''',148.1379584,Not specified,8184,8172,1
Brace vertical,120.7985015,Not specified,240,220,1
Brace vertical_1,120.7985015,Not specified,240,220,1
Brace II,67.2401897,Not specified,240,220,1
Brace II_1,67.2401897,Not specified,240,220,1
Brace II_2,67.2401897,Not specified,240,220,1
Brace II_3,67.2401897,Not specified,240,220,1
NEMA- 4X- 14 X 12 X 6-Control Support Channel_Default<As Machined>,94.1667,Not specified,304,276,4
NEMA- 4X- 14 X 12 X 6-Control Support left_Default<As Machined>,42.3461022,Not specified,304,276,3
NEMA- 4X- 14 X 12 X 6-Control Support vertical_Default<As Machined>,153.1898426,Not specified,304,276,1
VT-4300-Receptacle Box Cover,8.2648447,Not specified,2744,2732,1
VT-4300-Receptical Box Bottom_All Holes,9.011547,Not specified,2692,2636,1
VT-4300-Receptical Box Sides,8.1767347,Not specified,1016,952,1
VT-4300-Receptical Box Top,9.1154742,Not specified,2208,2152,1
VT-4300-Receptical Box Sides_1,8.1767347,Not specified,1016,952,1
